School,City,State,Earnings,Cost,Grad,Loans,Urban,Size
University of Wisconsin-Eau Claire,Eau Claire,WI,60286,16051,65,55,1,Medium
University of Wisconsin-La Crosse,La Crosse,WI,60668,14654,70,52,1,Medium
University of Wisconsin-Madison,Madison,WI,67216,17234,87,28,1,Large
University of Wisconsin-Platteville,Platteville,WI,54029,14565,55,55,0,Medium
Villanova University,Villanova,PA,77158,43577,89,41,0,Medium
Virginia Polytechnic Institute and State University,Blacksburg,VA,71320,21301,85,40,1,Large
Wartburg College ,Waverly,IA,63021,22765,66,70,0,Small
Washington & Jefferson College ,Washington,Pa,60675,28635,72,93,0,Small
Washington and Lee University,Lexington,VA,79551,26175,94,18,0,Small
Washington State University,Pullman,WA,57034,15300,65,42,0,Large
West Chester University of Pennsylvania,West Chester,PA,67374,21484,74,68,0,Medium
Widener University ,Chester,Pa,60988,31792,60,79,0,Medium
Wiles University,Wilkes-Barre,PA,55534,29618,59,80,1,Medium
Winona State University,Winona,MN,54230,17634,65,67,0,Medium
Xavier University,Cincinnati,OH,63851,34592,68,61,1,Medium
